epoch,group,precision,recall,f1
1,offenseFormation,0.4670846394984326,0.4670846394984326,0.4670846394984326
1,receiverAlignment,0.23197492163009403,0.23197492163009403,0.23197492163009403
1,dropbackType,0.9122257053291536,0.9122257053291536,0.9122257053291536
1,passLocationType,0.890282131661442,0.890282131661442,0.890282131661442
1,pff_runConceptPrimary,0.7084639498432602,0.7084639498432602,0.7084639498432602
1,pff_runConceptSecondary,1.0,1.0,1.0
1,pff_passCoverage,0.23824451410658307,0.19289340101522842,0.2131837307152875
1,pff_manZone,0.6896551724137931,0.9016393442622951,0.7815275310834814
1,routeRanQB0,0.987460815047022,0.987460815047022,0.987460815047022
1,routeRanWR0,0.22570532915360503,0.22570532915360503,0.22570532915360503
1,routeRanWR1,0.18808777429467086,0.18808777429467086,0.18808777429467086
1,routeRanWR2,0.32601880877742945,0.32601880877742945,0.32601880877742945
1,routeRanWR3,0.9968652037617555,0.9968652037617555,0.9968652037617555
1,routeRanWR4,1.0,1.0,1.0
1,routeRanRB0,0.41379310344827586,0.41379310344827586,0.41379310344827586
1,routeRanRB1,0.9686520376175548,0.9686520376175548,0.9686520376175548
1,routeRanRB2,1.0,1.0,1.0
1,routeRanTE0,0.11912225705329153,0.11912225705329153,0.11912225705329153
1,routeRanTE1,0.8589341692789969,0.8589341692789969,0.8589341692789969
1,routeRanTE2,0.9749216300940439,0.9749216300940439,0.9749216300940439
2,offenseFormation,0.6677115987460815,0.6677115987460815,0.6677115987460815
2,receiverAlignment,0.3510971786833856,0.3510971786833856,0.3510971786833856
2,dropbackType,0.9122257053291536,0.9122257053291536,0.9122257053291536
2,passLocationType,0.890282131661442,0.890282131661442,0.890282131661442
2,pff_runConceptPrimary,0.7084639498432602,0.7084639498432602,0.7084639498432602
2,pff_runConceptSecondary,1.0,1.0,1.0
2,pff_passCoverage,0.2884012539184953,0.233502538071066,0.25806451612903225
2,pff_manZone,0.6896551724137931,0.9016393442622951,0.7815275310834814
2,routeRanQB0,0.987460815047022,0.987460815047022,0.987460815047022
2,routeRanWR0,0.21630094043887146,0.21630094043887146,0.21630094043887146
2,routeRanWR1,0.0877742946708464,0.0877742946708464,0.0877742946708464
2,routeRanWR2,0.3103448275862069,0.3103448275862069,0.3103448275862069
2,routeRanWR3,0.9968652037617555,0.9968652037617555,0.9968652037617555
2,routeRanWR4,1.0,1.0,1.0
2,routeRanRB0,0.41379310344827586,0.41379310344827586,0.41379310344827586
2,routeRanRB1,0.9686520376175548,0.9686520376175548,0.9686520376175548
2,routeRanRB2,1.0,1.0,1.0
2,routeRanTE0,0.14733542319749215,0.14733542319749215,0.14733542319749215
2,routeRanTE1,0.8589341692789969,0.8589341692789969,0.8589341692789969
2,routeRanTE2,0.9749216300940439,0.9749216300940439,0.9749216300940439
3,offenseFormation,0.6677115987460815,0.6677115987460815,0.6677115987460815
3,receiverAlignment,0.4012539184952978,0.4012539184952978,0.4012539184952978
3,dropbackType,0.9122257053291536,0.9122257053291536,0.9122257053291536
3,passLocationType,0.890282131661442,0.890282131661442,0.890282131661442
3,pff_runConceptPrimary,0.7084639498432602,0.7084639498432602,0.7084639498432602
3,pff_runConceptSecondary,1.0,1.0,1.0
3,pff_passCoverage,0.34169278996865204,0.2766497461928934,0.30575035063113604
3,pff_manZone,0.6896551724137931,0.9016393442622951,0.7815275310834814
3,routeRanQB0,0.987460815047022,0.987460815047022,0.987460815047022
3,routeRanWR0,0.2225705329153605,0.2225705329153605,0.2225705329153605
3,routeRanWR1,0.12852664576802508,0.12852664576802508,0.12852664576802508
3,routeRanWR2,0.34169278996865204,0.34169278996865204,0.34169278996865204
3,routeRanWR3,0.9968652037617555,0.9968652037617555,0.9968652037617555
3,routeRanWR4,1.0,1.0,1.0
3,routeRanRB0,0.41379310344827586,0.41379310344827586,0.41379310344827586
3,routeRanRB1,0.9686520376175548,0.9686520376175548,0.9686520376175548
3,routeRanRB2,1.0,1.0,1.0
3,routeRanTE0,0.10658307210031348,0.10658307210031348,0.10658307210031348
3,routeRanTE1,0.8589341692789969,0.8589341692789969,0.8589341692789969
3,routeRanTE2,0.9749216300940439,0.9749216300940439,0.9749216300940439
4,offenseFormation,0.6677115987460815,0.6677115987460815,0.6677115987460815
4,receiverAlignment,0.4106583072100313,0.4106583072100313,0.4106583072100313
4,dropbackType,0.9122257053291536,0.9122257053291536,0.9122257053291536
4,passLocationType,0.890282131661442,0.890282131661442,0.890282131661442
4,pff_runConceptPrimary,0.7084639498432602,0.7084639498432602,0.7084639498432602
4,pff_runConceptSecondary,1.0,1.0,1.0
4,pff_passCoverage,0.22570532915360503,0.18274111675126903,0.20196353436185133
4,pff_manZone,0.6927899686520376,0.9057377049180327,0.7850799289520426
4,routeRanQB0,0.987460815047022,0.987460815047022,0.987460815047022
4,routeRanWR0,0.2225705329153605,0.2225705329153605,0.2225705329153605
4,routeRanWR1,0.16614420062695925,0.16614420062695925,0.16614420062695925
4,routeRanWR2,0.34169278996865204,0.34169278996865204,0.34169278996865204
4,routeRanWR3,0.9968652037617555,0.9968652037617555,0.9968652037617555
4,routeRanWR4,1.0,1.0,1.0
4,routeRanRB0,0.4043887147335423,0.4043887147335423,0.4043887147335423
4,routeRanRB1,0.9686520376175548,0.9686520376175548,0.9686520376175548
4,routeRanRB2,1.0,1.0,1.0
4,routeRanTE0,0.13479623824451412,0.13479623824451412,0.13479623824451412
4,routeRanTE1,0.8589341692789969,0.8589341692789969,0.8589341692789969
4,routeRanTE2,0.9749216300940439,0.9749216300940439,0.9749216300940439
5,offenseFormation,0.6677115987460815,0.6677115987460815,0.6677115987460815
5,receiverAlignment,0.3761755485893417,0.3761755485893417,0.3761755485893417
5,dropbackType,0.9122257053291536,0.9122257053291536,0.9122257053291536
5,passLocationType,0.890282131661442,0.890282131661442,0.890282131661442
5,pff_runConceptPrimary,0.7084639498432602,0.7084639498432602,0.7084639498432602
5,pff_runConceptSecondary,1.0,1.0,1.0
5,pff_passCoverage,0.3072100313479624,0.24873096446700507,0.27489481065918653
5,pff_manZone,0.6896551724137931,0.9016393442622951,0.7815275310834814
5,routeRanQB0,0.987460815047022,0.987460815047022,0.987460815047022
