epoch,group,accuracy,precision,recall,f1
6,routeRanRB1,1.0,1.0,1.0,1.0
6,routeRanRB2,1.0,1.0,1.0,1.0
6,routeRanTE0,0.5,0.25,0.5,0.3333333333333333
6,routeRanTE1,1.0,1.0,1.0,1.0
6,routeRanTE2,1.0,1.0,1.0,1.0
7,offenseFormation,0.5,0.25,0.5,0.3333333333333333
7,receiverAlignment,0.0,0.0,0.0,0.0
7,dropbackType,0.5,0.25,0.5,0.3333333333333333
7,passLocationType,0.5,0.25,0.5,0.3333333333333333
7,pff_runConceptPrimary,0.5,0.25,0.5,0.3333333333333333
7,pff_runConceptSecondary,1.0,1.0,1.0,1.0
7,pff_passCoverage,1.0,1.0,1.0,1.0
7,pff_manZone,1.0,1.0,1.0,1.0
7,routeRanQB0,1.0,1.0,1.0,1.0
7,routeRanWR0,0.0,0.0,0.0,0.0
7,routeRanWR1,0.0,0.0,0.0,0.0
7,routeRanWR2,0.0,0.0,0.0,0.0
7,routeRanWR3,1.0,1.0,1.0,1.0
7,routeRanWR4,1.0,1.0,1.0,1.0
7,routeRanRB0,0.0,0.0,0.0,0.0
7,routeRanRB1,1.0,1.0,1.0,1.0
7,routeRanRB2,1.0,1.0,1.0,1.0
7,routeRanTE0,0.5,0.25,0.5,0.3333333333333333
7,routeRanTE1,1.0,1.0,1.0,1.0
7,routeRanTE2,1.0,1.0,1.0,1.0
8,offenseFormation,0.5,0.25,0.5,0.3333333333333333
8,receiverAlignment,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
8,dropbackType,0.5,0.25,0.5,0.3333333333333333
8,passLocationType,0.5,0.25,0.5,0.3333333333333333
8,pff_runConceptPrimary,0.5,0.25,0.5,0.3333333333333333
8,pff_runConceptSecondary,1.0,1.0,1.0,1.0
8,pff_passCoverage,1.0,1.0,1.0,1.0
8,pff_manZone,1.0,1.0,1.0,1.0
8,routeRanQB0,1.0,1.0,1.0,1.0
8,routeRanWR0,0.0,0.0,0.0,0.0
8,routeRanWR1,0.0,0.0,0.0,0.0
8,routeRanWR2,0.0,0.0,0.0,0.0
8,routeRanWR3,1.0,1.0,1.0,1.0
8,routeRanWR4,1.0,1.0,1.0,1.0
8,routeRanRB0,0.0,0.0,0.0,0.0
8,routeRanRB1,1.0,1.0,1.0,1.0
8,routeRanRB2,1.0,1.0,1.0,1.0
8,routeRanTE0,0.0,0.0,0.0,0.0
8,routeRanTE1,1.0,1.0,1.0,1.0
8,routeRanTE2,1.0,1.0,1.0,1.0
9,offenseFormation,0.5,0.25,0.5,0.3333333333333333
9,receiverAlignment,0.0,0.0,0.0,0.0
9,dropbackType,0.5,0.25,0.5,0.3333333333333333
9,passLocationType,0.5,0.25,0.5,0.3333333333333333
9,pff_runConceptPrimary,0.5,0.25,0.5,0.3333333333333333
9,pff_runConceptSecondary,1.0,1.0,1.0,1.0
9,pff_passCoverage,1.0,1.0,1.0,1.0
9,pff_manZone,1.0,1.0,1.0,1.0
9,routeRanQB0,1.0,1.0,1.0,1.0
9,routeRanWR0,0.0,0.0,0.0,0.0
9,routeRanWR1,0.0,0.0,0.0,0.0
9,routeRanWR2,0.0,0.0,0.0,0.0
9,routeRanWR3,1.0,1.0,1.0,1.0
9,routeRanWR4,1.0,1.0,1.0,1.0
9,routeRanRB0,0.0,0.0,0.0,0.0
9,routeRanRB1,1.0,1.0,1.0,1.0
9,routeRanRB2,1.0,1.0,1.0,1.0
9,routeRanTE0,0.5,0.25,0.5,0.3333333333333333
9,routeRanTE1,1.0,1.0,1.0,1.0
9,routeRanTE2,1.0,1.0,1.0,1.0
10,offenseFormation,0.5,0.25,0.5,0.3333333333333333
10,receiverAlignment,0.5,0.25,0.5,0.3333333333333333
10,dropbackType,0.5,0.25,0.5,0.3333333333333333
10,passLocationType,0.5,0.25,0.5,0.3333333333333333
10,pff_runConceptPrimary,0.5,0.25,0.5,0.3333333333333333
10,pff_runConceptSecondary,1.0,1.0,1.0,1.0
10,pff_passCoverage,0.5,0.5,0.25,0.3333333333333333
10,pff_manZone,1.0,1.0,1.0,1.0
10,routeRanQB0,1.0,1.0,1.0,1.0
10,routeRanWR0,0.0,0.0,0.0,0.0
10,routeRanWR1,0.0,0.0,0.0,0.0
10,routeRanWR2,0.5,0.25,0.5,0.3333333333333333
10,routeRanWR3,1.0,1.0,1.0,1.0
10,routeRanWR4,1.0,1.0,1.0,1.0
10,routeRanRB0,1.0,1.0,1.0,1.0
10,routeRanRB1,1.0,1.0,1.0,1.0
10,routeRanRB2,1.0,1.0,1.0,1.0
10,routeRanTE0,0.0,0.0,0.0,0.0
10,routeRanTE1,1.0,1.0,1.0,1.0
10,routeRanTE2,1.0,1.0,1.0,1.0
11,offenseFormation,0.5,0.25,0.5,0.3333333333333333
11,receiverAlignment,0.0,0.0,0.0,0.0
