epoch,train_loss,test_loss,gpu_memory_mb,epoch_time_sec
1,0.51611328125,0.20166015625,621.57,3.91
2,0.2279052734375,0.17919921875,621.57,3.52
3,0.13983154296875,0.255859375,621.57,3.54
4,0.14605712890625,0.18408203125,621.57,3.68
5,0.13079833984375,0.193359375,621.57,3.7
6,0.124847412109375,0.19970703125,621.57,3.72
7,0.105865478515625,0.22265625,621.57,3.31
8,0.10205078125,0.22607421875,621.57,3.44
9,0.08138275146484375,0.5048828125,621.57,3.6
10,0.08434610068798065,0.26171875,621.57,3.67
11,0.113189697265625,0.49609375,621.57,3.7
12,0.11585235595703125,0.25146484375,621.57,2.28
13,0.10776901245117188,0.25341796875,621.57,2.45
14,0.08945465087890625,0.3154296875,621.57,2.29
15,0.099212646484375,0.33984375,621.57,2.32
epoch,train_loss,test_loss,gpu_memory_mb,epoch_time_sec
1,0.16729290431068342,0.1511651400862069,621.57,2442.9
2,0.17204031753240376,0.14976305348746083,621.57,2463.11
3,0.14952836557344854,0.1471762343260188,621.57,2464.92
4,0.14892194557639435,0.1513396355799373,621.57,2472.03
5,0.1490795917615868,0.14904823422805644,621.57,2478.12
6,0.14884293070011784,0.1492349750195925,621.57,2494.31
7,0.14885367058621368,0.15169321855407525,621.57,2480.84
8,0.1492894031078162,0.1488722080721003,621.57,2472.01
9,0.1492368543794187,0.14937273461990597,621.57,2461.9
10,0.1497193821190102,0.14974315487852666,621.57,2457.19
11,0.14981834249803613,0.15025439606191224,621.57,2463.31
12,0.15043665308326787,0.15034317447100312,621.57,2459.08
13,0.1506249846573056,0.15032786784874608,621.57,2473.19
