epoch,group,precision,recall,f1
1,offenseFormation,0.6363636363636364,0.6363636363636364,0.6363636363636364
1,receiverAlignment,0.4169278996865204,0.4169278996865204,0.4169278996865204
1,dropbackType,0.8652037617554859,0.8652037617554859,0.8652037617554859
1,passLocationType,0.8589341692789969,0.8589341692789969,0.8589341692789969
1,pff_runConceptPrimary,0.6677115987460815,0.6677115987460815,0.6677115987460815
1,pff_runConceptSecondary,1.0,1.0,1.0
1,pff_passCoverage,0.2727272727272727,0.21375921375921375,0.2396694214876033
1,pff_manZone,0.6802507836990596,0.9393939393939394,0.7890909090909091
1,routeRanQB0,0.9968652037617555,0.9968652037617555,0.9968652037617555
1,routeRanWR0,0.25391849529780564,0.25391849529780564,0.25391849529780564
1,routeRanWR1,0.1786833855799373,0.1786833855799373,0.1786833855799373
1,routeRanWR2,0.2476489028213166,0.2476489028213166,0.2476489028213166
1,routeRanWR3,0.9905956112852664,0.9905956112852664,0.9905956112852664
1,routeRanWR4,1.0,1.0,1.0
1,routeRanRB0,0.2946708463949843,0.2946708463949843,0.2946708463949843
1,routeRanRB1,0.987460815047022,0.987460815047022,0.987460815047022
1,routeRanRB2,1.0,1.0,1.0
1,routeRanTE0,0.13479623824451412,0.13479623824451412,0.13479623824451412
1,routeRanTE1,0.8840125391849529,0.8840125391849529,0.8840125391849529
1,routeRanTE2,0.9843260188087775,0.9843260188087775,0.9843260188087775
2,offenseFormation,0.6802507836990596,0.6802507836990596,0.6802507836990596
2,receiverAlignment,0.3448275862068966,0.3448275862068966,0.3448275862068966
2,dropbackType,0.8652037617554859,0.8652037617554859,0.8652037617554859
2,passLocationType,0.8589341692789969,0.8589341692789969,0.8589341692789969
2,pff_runConceptPrimary,0.6677115987460815,0.6677115987460815,0.6677115987460815
2,pff_runConceptSecondary,1.0,1.0,1.0
2,pff_passCoverage,0.29153605015673983,0.2285012285012285,0.256198347107438
2,pff_manZone,0.6802507836990596,0.9393939393939394,0.7890909090909091
2,routeRanQB0,0.9968652037617555,0.9968652037617555,0.9968652037617555
2,routeRanWR0,0.2664576802507837,0.2664576802507837,0.2664576802507837
2,routeRanWR1,0.18181818181818182,0.18181818181818182,0.18181818181818182
2,routeRanWR2,0.27586206896551724,0.27586206896551724,0.27586206896551724
2,routeRanWR3,0.9905956112852664,0.9905956112852664,0.9905956112852664
2,routeRanWR4,1.0,1.0,1.0
2,routeRanRB0,0.4012539184952978,0.4012539184952978,0.4012539184952978
2,routeRanRB1,0.987460815047022,0.987460815047022,0.987460815047022
