epoch,group,precision,recall,f1
8,pff_runConceptPrimary,0.5,0.5,0.5
8,pff_runConceptSecondary,1.0,1.0,1.0
8,pff_passCoverage,0.5,0.5,0.5
8,pff_manZone,1.0,1.0,1.0
8,routeRanQB0,1.0,1.0,1.0
8,routeRanWR0,0.0,0.0,0.0
8,routeRanWR1,0.0,0.0,0.0
8,routeRanWR2,0.0,0.0,0.0
8,routeRanWR3,1.0,1.0,1.0
8,routeRanWR4,1.0,1.0,1.0
8,routeRanRB0,0.0,0.0,0.0
8,routeRanRB1,1.0,1.0,1.0
8,routeRanRB2,1.0,1.0,1.0
8,routeRanTE0,0.5,0.5,0.5
8,routeRanTE1,1.0,1.0,1.0
8,routeRanTE2,1.0,1.0,1.0
9,offenseFormation,0.0,0.0,0.0
9,receiverAlignment,0.0,0.0,0.0
9,dropbackType,0.5,0.5,0.5
9,passLocationType,0.5,0.5,0.5
9,pff_runConceptPrimary,0.5,0.5,0.5
9,pff_runConceptSecondary,1.0,1.0,1.0
9,pff_passCoverage,0.5,0.5,0.5
9,pff_manZone,1.0,1.0,1.0
9,routeRanQB0,1.0,1.0,1.0
9,routeRanWR0,0.0,0.0,0.0
9,routeRanWR1,0.0,0.0,0.0
9,routeRanWR2,0.0,0.0,0.0
9,routeRanWR3,1.0,1.0,1.0
9,routeRanWR4,1.0,1.0,1.0
9,routeRanRB0,0.0,0.0,0.0
9,routeRanRB1,1.0,1.0,1.0
9,routeRanRB2,1.0,1.0,1.0
9,routeRanTE0,0.5,0.5,0.5
9,routeRanTE1,1.0,1.0,1.0
9,routeRanTE2,1.0,1.0,1.0
10,offenseFormation,0.0,0.0,0.0
10,receiverAlignment,0.5,0.5,0.5
10,dropbackType,0.5,0.5,0.5
10,passLocationType,0.5,0.5,0.5
10,pff_runConceptPrimary,0.5,0.5,0.5
10,pff_runConceptSecondary,1.0,1.0,1.0
10,pff_passCoverage,0.5,0.5,0.5
10,pff_manZone,1.0,1.0,1.0
10,routeRanQB0,1.0,1.0,1.0
10,routeRanWR0,0.0,0.0,0.0
10,routeRanWR1,0.0,0.0,0.0
10,routeRanWR2,0.0,0.0,0.0
10,routeRanWR3,1.0,1.0,1.0
10,routeRanWR4,1.0,1.0,1.0
10,routeRanRB0,0.0,0.0,0.0
10,routeRanRB1,1.0,1.0,1.0
10,routeRanRB2,1.0,1.0,1.0
10,routeRanTE0,0.5,0.5,0.5
10,routeRanTE1,1.0,1.0,1.0
10,routeRanTE2,1.0,1.0,1.0
epoch,group,accuracy,precision,recall,f1
1,offenseFormation,0.0,0.0,0.0,0.0
1,receiverAlignment,0.0,0.0,0.0,0.0
1,dropbackType,0.0,0.0,0.0,0.0
1,passLocationType,0.5,0.25,0.5,0.3333333333333333
1,pff_runConceptPrimary,1.0,1.0,1.0,1.0
1,pff_runConceptSecondary,1.0,1.0,1.0,1.0
1,pff_passCoverage,0.5,0.25,0.5,0.3333333333333333
1,pff_manZone,0.5,0.25,0.5,0.3333333333333333
1,routeRanQB0,1.0,1.0,1.0,1.0
1,routeRanWR0,0.0,0.0,0.0,0.0
1,routeRanWR1,0.0,0.0,0.0,0.0
1,routeRanWR2,0.0,0.0,0.0,0.0
1,routeRanWR3,0.0,0.0,0.0,0.0
1,routeRanWR4,1.0,1.0,1.0,1.0
1,routeRanRB0,0.5,0.25,0.5,0.3333333333333333
1,routeRanRB1,1.0,1.0,1.0,1.0
1,routeRanRB2,1.0,1.0,1.0,1.0
1,routeRanTE0,0.0,0.0,0.0,0.0
1,routeRanTE1,0.5,0.5,0.25,0.3333333333333333
1,routeRanTE2,1.0,1.0,1.0,1.0
2,offenseFormation,0.0,0.0,0.0,0.0
2,receiverAlignment,0.0,0.0,0.0,0.0
2,dropbackType,1.0,1.0,1.0,1.0
2,passLocationType,0.5,0.25,0.5,0.3333333333333333
2,pff_runConceptPrimary,1.0,1.0,1.0,1.0
2,pff_runConceptSecondary,1.0,1.0,1.0,1.0
2,pff_passCoverage,0.5,0.25,0.5,0.3333333333333333
2,pff_manZone,0.5,0.25,0.5,0.3333333333333333
2,routeRanQB0,1.0,1.0,1.0,1.0
2,routeRanWR0,0.0,0.0,0.0,0.0
2,routeRanWR1,0.5,0.25,0.5,0.3333333333333333
2,routeRanWR2,0.0,0.0,0.0,0.0
2,routeRanWR3,1.0,1.0,1.0,1.0
2,routeRanWR4,1.0,1.0,1.0,1.0
2,routeRanRB0,0.0,0.0,0.0,0.0
2,routeRanRB1,1.0,1.0,1.0,1.0
2,routeRanRB2,1.0,1.0,1.0,1.0
2,routeRanTE0,0.0,0.0,0.0,0.0
2,routeRanTE1,1.0,1.0,1.0,1.0
2,routeRanTE2,1.0,1.0,1.0,1.0
3,offenseFormation,0.0,0.0,0.0,0.0
3,receiverAlignment,0.0,0.0,0.0,0.0
3,dropbackType,1.0,1.0,1.0,1.0
3,passLocationType,0.5,0.25,0.5,0.3333333333333333
3,pff_runConceptPrimary,1.0,1.0,1.0,1.0
3,pff_runConceptSecondary,1.0,1.0,1.0,1.0
3,pff_passCoverage,0.5,0.25,0.5,0.3333333333333333
3,pff_manZone,0.5,0.25,0.5,0.3333333333333333
3,routeRanQB0,1.0,1.0,1.0,1.0
3,routeRanWR0,0.0,0.0,0.0,0.0
3,routeRanWR1,0.0,0.0,0.0,0.0
3,routeRanWR2,0.0,0.0,0.0,0.0
3,routeRanWR3,1.0,1.0,1.0,1.0
3,routeRanWR4,1.0,1.0,1.0,1.0
3,routeRanRB0,0.0,0.0,0.0,0.0
3,routeRanRB1,1.0,1.0,1.0,1.0
3,routeRanRB2,1.0,1.0,1.0,1.0
3,routeRanTE0,0.0,0.0,0.0,0.0
3,routeRanTE1,1.0,1.0,1.0,1.0
3,routeRanTE2,1.0,1.0,1.0,1.0
4,offenseFormation,0.0,0.0,0.0,0.0
4,receiverAlignment,0.0,0.0,0.0,0.0
4,dropbackType,0.5,0.5,0.25,0.3333333333333333
4,passLocationType,0.5,0.25,0.5,0.3333333333333333
4,pff_runConceptPrimary,1.0,1.0,1.0,1.0
4,pff_runConceptSecondary,1.0,1.0,1.0,1.0
4,pff_passCoverage,0.5,0.25,0.5,0.3333333333333333
4,pff_manZone,0.5,0.25,0.5,0.3333333333333333
4,routeRanQB0,1.0,1.0,1.0,1.0
4,routeRanWR0,0.0,0.0,0.0,0.0
4,routeRanWR1,0.0,0.0,0.0,0.0
4,routeRanWR2,0.0,0.0,0.0,0.0
4,routeRanWR3,1.0,1.0,1.0,1.0
4,routeRanWR4,1.0,1.0,1.0,1.0
4,routeRanRB0,0.0,0.0,0.0,0.0
4,routeRanRB1,1.0,1.0,1.0,1.0
4,routeRanRB2,1.0,1.0,1.0,1.0
4,routeRanTE0,0.0,0.0,0.0,0.0
4,routeRanTE1,1.0,1.0,1.0,1.0
4,routeRanTE2,1.0,1.0,1.0,1.0
5,offenseFormation,0.0,0.0,0.0,0.0
5,receiverAlignment,0.0,0.0,0.0,0.0
5,dropbackType,1.0,1.0,1.0,1.0
5,passLocationType,0.5,0.25,0.5,0.3333333333333333
5,pff_runConceptPrimary,1.0,1.0,1.0,1.0
5,pff_runConceptSecondary,1.0,1.0,1.0,1.0
5,pff_passCoverage,0.5,0.25,0.5,0.3333333333333333
