epoch,group,precision,recall,f1
1,offenseFormation,0.670846394984326,0.670846394984326,0.670846394984326
1,receiverAlignment,0.41379310344827586,0.41379310344827586,0.41379310344827586
1,dropbackType,0.8683385579937304,0.8683385579937304,0.8683385579937304
1,passLocationType,0.8589341692789969,0.8589341692789969,0.8589341692789969
1,pff_runConceptPrimary,0.670846394984326,0.670846394984326,0.670846394984326
1,pff_runConceptSecondary,1.0,1.0,1.0
1,pff_passCoverage,0.2507836990595611,0.19851116625310175,0.22160664819944598
1,pff_manZone,0.6802507836990596,0.9234042553191489,0.7833935018050542
1,routeRanQB0,0.9937304075235109,0.9937304075235109,0.9937304075235109
1,routeRanWR0,0.20689655172413793,0.20689655172413793,0.20689655172413793
1,routeRanWR1,0.09404388714733543,0.09404388714733543,0.09404388714733543
1,routeRanWR2,0.31347962382445144,0.31347962382445144,0.31347962382445144
1,routeRanWR3,0.9811912225705329,0.9811912225705329,0.9811912225705329
1,routeRanWR4,1.0,1.0,1.0
1,routeRanRB0,0.322884012539185,0.322884012539185,0.322884012539185
1,routeRanRB1,0.9717868338557993,0.9717868338557993,0.9717868338557993
1,routeRanRB2,1.0,1.0,1.0
1,routeRanTE0,0.109717868338558,0.109717868338558,0.109717868338558
1,routeRanTE1,0.8652037617554859,0.8652037617554859,0.8652037617554859
1,routeRanTE2,0.9937304075235109,0.9937304075235109,0.9937304075235109
2,offenseFormation,0.670846394984326,0.670846394984326,0.670846394984326
2,receiverAlignment,0.3981191222570533,0.3981191222570533,0.3981191222570533
2,dropbackType,0.8683385579937304,0.8683385579937304,0.8683385579937304
2,passLocationType,0.8589341692789969,0.8589341692789969,0.8589341692789969
2,pff_runConceptPrimary,0.670846394984326,0.670846394984326,0.670846394984326
2,pff_runConceptSecondary,1.0,1.0,1.0
2,pff_passCoverage,0.3385579937304075,0.2679900744416873,0.29916897506925205
2,pff_manZone,0.6802507836990596,0.9234042553191489,0.7833935018050542
2,routeRanQB0,0.9937304075235109,0.9937304075235109,0.9937304075235109
2,routeRanWR0,0.29153605015673983,0.29153605015673983,0.29153605015673983
2,routeRanWR1,0.16300940438871472,0.16300940438871472,0.16300940438871472
2,routeRanWR2,0.21003134796238246,0.21003134796238246,0.21003134796238246
2,routeRanWR3,0.9811912225705329,0.9811912225705329,0.9811912225705329
2,routeRanWR4,1.0,1.0,1.0
2,routeRanRB0,0.3667711598746082,0.3667711598746082,0.3667711598746082
2,routeRanRB1,0.9717868338557993,0.9717868338557993,0.9717868338557993
2,routeRanRB2,1.0,1.0,1.0
2,routeRanTE0,0.12225705329153605,0.12225705329153605,0.12225705329153605
2,routeRanTE1,0.8652037617554859,0.8652037617554859,0.8652037617554859
2,routeRanTE2,0.9937304075235109,0.9937304075235109,0.9937304075235109
3,offenseFormation,0.670846394984326,0.670846394984326,0.670846394984326
3,receiverAlignment,0.3793103448275862,0.3793103448275862,0.3793103448275862
3,dropbackType,0.8683385579937304,0.8683385579937304,0.8683385579937304
3,passLocationType,0.8589341692789969,0.8589341692789969,0.8589341692789969
3,pff_runConceptPrimary,0.670846394984326,0.670846394984326,0.670846394984326
3,pff_runConceptSecondary,1.0,1.0,1.0
3,pff_passCoverage,0.3166144200626959,0.2506203473945409,0.27977839335180055
3,pff_manZone,0.6802507836990596,0.9234042553191489,0.7833935018050542
