epoch,train_loss,test_loss,gpu_memory_mb,epoch_time_sec
1,209.650390625,48.5654296875,621.57,1338.76
2,189.44970703125,48.79345703125,621.57,1352.67
3,187.8837890625,47.29931640625,621.57,1358.39
4,186.93212890625,48.00244140625,621.57,1363.09
5,187.0888671875,47.3466796875,621.57,1366.13
6,186.47900390625,47.19970703125,621.57,1363.16
7,186.30615234375,47.48291015625,621.57,1364.4
8,186.482421875,47.93994140625,621.57,1365.53
9,186.255859375,47.39892578125,621.57,1362.9
10,186.03076171875,47.4873046875,621.57,1365.31
